Edad,Sexo,1. Siento que mi padre raras veces me...,Clasificación I1,2. Cuando tengo mala suerte...,Clasificación I2,3. Siempre anhelé...,Clasificación I3,4. Si yo estuviera a cargo...,Clasificación I4,5. El futuro me parece...,Clasificación I5,6. Las personas que tienen una posición superior a mí...,Clasificación I6,"7. Sé que es tonto, pero tengo miedo de...",Clasificación I7,8. Creo que un verdadero amigo...,Clsificación I8,9. Cuando era niño(a)...,Clasificación I9,10. Mi idea de mujer (hombre) perfecta(o)...,Clasificación I10,11. Cuando veo a un hombre y a una mujer juntos...,Clasificación I11,"12. Comparando las demás familias, la mía...",Clasificación I12,13. En las acciones que implican trabajo me llevo mejor con...,Clasificación I13,14. Mi madre...,Clasificación I14,15. Haría cualquier cosa por olvidar la vez que...,Clasificación I15,16. Si mi padre tan solo...,Clasificación I16,17. Siento que tengo habilidades para...,Clasificación I17,18. Sería perfectamente feliz si...,Clasificación I18,19. Si la gente trabajara para mí...,Clasificación I19,20. Yo espero...,Clasificación 20,"21. En el colegio, mis profesores...",Clasificación I21,22. La mayoría de mis amistades no saben que tengo miedo de...,Clasificación I22,23. No me gusta...,Clasificación I23,24. Antes...,Clasificación I24,25. Pienso que la mayoría de los muchachos(as)...,Clasificación I25,26. Yo creo que la vida matrimonial...,Clasificación I26,27. Mi familia me trata como...,Clasificación I27,28. Aquellos con los que trabajo...,Clasificación I28,29. Mi madre y yo...,Clasificación I29,30. Mi más grande error fue...,Clasificación I30,31. Desearía que mi padre...,Clasificación I31,32. Mi mayor debilidad...,Clasificación I32,33. Mi ambición secreta en la vida...,Clasificación I33,34. La gente que trabaja para mí...,Clasificación I34,35. Algún día yo...,Clasificación I35,36. Cuando veo al jefe venir...,Clasificación I36,37. Quisiera perder el miedo de...,Clasificación I37,38. La gente que más me agrada...,Clasificación I38,39. Si fuera joven otra vez...,Clasificación I39,40. Creo que la mayoría de las mujeres (hombres)...,Clasificación I40,41. Si tuviera relaciones sexuales...,Clasificación I41,42. La mayoría de las familias que conozco...,Clasificación I42,43. Me gusta trabajar con la gente que...,Clasificación I43,44. Creo que la mayoría de las madres...,Clasificación I44,45. Cuando era más joven me sentía culpable de...,Clasificación I45,46. Siento que mi padre es...,Clasificación I46,47. Cuando la suerte se vuelve en contra mía...,Clasificación I47,"48. Cuando doy órdenes, yo...",Clasificación I48,49. Lo que más deseo en la vida es...,Clasificación I49,50. Dentro de algún tiempo...,Clasificación I50,51. La gente a quien yo considero mis superiores...,Clasificación I51,52. Mis temores en ocasiones me obligan a...,Clasificación I52,"53. Cuando no estoy, mis amigos...",Clasificación I53,54. Mi más vívido recuerdo de la infancia...,Clasificación I54,55. Lo que menos me gusta de los hombres (mujeres)...,Clasificación I55,56. Mi vida sexual...,Clasificación I56,57. Cuando era niño(a)...,Clasificación I57,"58. La gente que trabaja conmigo, generalmente...",Clasificación I58,"59. Me agrada mi madre, pero...",Clasificación I59,60. La peor cosa que he hecho...,Clasificación I60
32,Masculino.,Lastima ,Positivo,No creo en la suerte ,Neutro,Ser futbolista profesional ,Negativo,Haría lo mejor posible ,Positivo,Retador ,Positivo,Las admiro ,Positivo,No Hacerlo  ,Neutro,Está siempre a pesar de las circunstancias ,Negativo,Jugaba mucho ,Positivo,Ama Dios por encima de todo,Ambiguo,Me parece excelente ,Positivo,Hace la diferencia ,Positivo,Todos,Positivo ,Lo mejor que me regaló Dios ,Positivo,Perdí ,Negativo,Continuará su estudio ,Positivo,Mi trabajo ,Positivo,No existiera el mal ,Negativo,Sería más solidario,Positivo,Ser mejor cada día ,Positivo,Me querian,Positivo,Fracazar ,Positivo,El desorden ,Ambiguo,Fue ,Neutro,Son de frágiles mentales ,Negativo,Es la mejor parte de la vida ,Negativo,El mejor padre ,Positivo,Piensan bien de mi ,Positivo,Nos ayudamos ,Positivo,Alejarme de Dios ,Negativo, cumpliera sus sueños ,Positivo,Timidez ,Negativo,Negocio rentable ,Positivo,Bien remunerada ,Positivo,Tendré mi casita ,Positivo,Lo saludo ,Positivo,Las alturas ,Positivo,Tiene ideas en comun,Positivo,Iría por mi sueño de niño ,Positivo,Son hermosas ,Positivo,Con mi esposa ,Positivo,Son unidas ,Positivo,Le gusta esforzarse a si no sepa del tema ,Positivo,Hacen lo mejor por su familia ,Positivo,Nada ,Neutro,El mejor que me puedo tocar ,Positivo,No creo en la suerte ,Neutro,Espero que se haga lo mejor posible ,Positivo,Ser dalvo,Neutro,Tendré mi casa ,Positivo,Personas con experiencia ,Positivo,No actuar ,Negativo,Me llaman ,Positivo,Jugar fútbol ,Positivo,Se creen superiores ,Negativo,Excelente ,Positivo,Feliz ,Positivo,Está bien ,Positivo,Le hace falta dejar el rencor ,Negativo,Mentiras ,Neutro
28,Masculino.,Escucha ,Negativo,Me da rabia ,Negativo,3 mujeres ,Negativo,De una empresa ,Neutro,Incierto ,Ambiguo,No me importan,Negativo,Morir ahogado ,Positivo,No existe ,Negativo,Me gustaba jugar al futbol ,Positivo,No existe ,Negativo,Me da risa ,Negativo,Es perfecta ,Negativo,Ninguno ,Negativo,No estuvo junto a mi ,Negativo,Lloré toda una noche ,Negativo,Se escuchará más ,Positivo,El debate ,Positivo,No tuviera ansiedad ,Positivo,Seríamos grandes,Positivo,Nada,Negativo,Eran decorosos ,Positivo,Que la depresión me mate ,Negativo,Convivir con mucha gente ,Ambiguo,Creería que sería futbolista ,Negativo,No saben nada de la sociedad ,Negativo,Es un contrato ,Negativo ,Si no importara ,Negativo,No trabajo ,Neutro,No estamos juntos ,Ambiguo,Enamorarme ,Negativo,Hubiese sido diferente en mi infancia ,Negativo,El amor ,Positivo,El dinero ,Positivo,….,Neutro,Seré reconocido ,Positivo,No tengo jefe ,Neutro,Hablar ,Positivo,Nadie,Negativo,Cometería menos errores ,Positivo,Conocen un verdadero hombre ,Ambiguo,Poco tengo ,Ambiguo,No conozco ,Neutro,No,Neutro,No se ,Neutro,Robar a mi padre ,Positivo,El mejor papá del mundo ,Positivo,No se ,Neutro,No se ,Neutro,Ser generoso ,Positivo,Tendré poder ,Ambiguo,No se ,Neutro,Cometer errores ,Negativo,No se ,Neutro,Un pollito ,Positivo,No se ,Neutro,Poco ,Ambiguo,Jugaba mucho ,Positivo,…,Neutro,No estuvo conmigo ,Negativo,Robarle a Dios ,Neutro
33,Femenino.,Ignora,Positivo,Me rio,Ambiguo,Estudiar medicina,Negativo,Sería una gran lider,Positivo,Me asusta,Negativo,Las respeto,Positivo,Equivocarme,Negativo,Es lo mejor,Positivo,Jugaba mucho,Positivo,Puede ser,Neutro,Que bonitos ,Positivo,Es lo mejor,Positivo,Ayuda,Ambiguo,Es muy valiosa para mi,Positivo,Mi hijo tuvo un accidente ,Negativo,Estuviera vivo,Negativo,Aprender,Positivo,Mi vida espiritual fuera la mejor,Negativo,Seriamos un equipo de trabajo,Positivo,En Dios,Positivo,Son lo mejor,Positivo,La oscuridad,Positivo,Gritar,Positivo,Las cosas eran mejores,Negativo,Estan preocupados,Neutro,Es bonita,Positivo,Una princesa,Positivo,Son increíbles ,Positivo,Somos buenas amigas,Positivo,No estudiar,Negativo,Estuviera vivo,Ambiguo,Las chocolatinas,Neutro,Un carro,Positivo,Seria agradecida,Positivo,Quisiera tener mi casa ,Positivo,Me asusto q no me vea en mi area,Negativo,Preocuparme,Ambiguo,Me anima,Positivo,No me hubiera casado todavía,Ambiguo,Son inteligentes,Positivo,Es algo bonito pero que sea con respeto,Positivo,Tienen dificultades,Ambiguo,Es competitiva,Positivo,Aman sin esperar nada a cambio,Positivo,Haber dejado de estudiar,Negativo,Lo mejor,Positivo,Me rio,Positivo,Siento q me falta caracter,Negativo,Esperar al señor con mis hijos y mi familia,Positivo,Mi hijo sera un hombre,Ambiguo,Son respetables,Positivo,Desanimarme,Negativo,Me llaman,Positivo,Es mis amistades jugando,Positivo,Q son mentirosos,Negativo,Es respetable,Positivo,Fue muy lindo,Positivo,Le agrada,Positivo,Ya a su edad se vuelve terca,Ambiguo,Es decir una mentira,Negativo
35,Masculino.,Regaña,Ambiguo,Me deprimo,Negativo,Tener un carro,Positivo,Lo aria mejor ,Positivo,Excelente ,Positivo,Los tomo como ejemplo ,Positivo,Enfermar y llegar a viejo,Negativo,Esta en las buenas y malas ,Positivo,Lloraba ,Negativo,Es que sea como yo,Negativo,Pienso en que serán felices,Positivo,No son tan diferentes ,Ambiguo,Mis jefes y compañeros ,Positivo ,Me ama ,Positivo,Me enamoré ,Negativo ,No muriera ,Negativo,Hacer cualquier cosa ,Negativo,Supiera que viviría para siempre ,Negativo,Los trataría excelente ,Positivo,Que me vaya muy bien en mi vida ,Positivo,Me quieren ,Positivo,Enfermar ,Negativo,La gente arrogante ,Positivo,De morir pedir perdón y encomendarme  a Dios ,Neutro,Son repelentes ,Negativo,Es dura ,Negativo ,Quieren ,Positivo,Me la llevo bien ,Positivo,Nos amamos ,Positivo,Meterme en deudas ,Negativo,Estuviera conmigo ,Negativo,Mirar mujeres ,Ambiguo,Sería servir a otros ,Positivo,Son lo primero ,Ambiguo,Morire,Ambiguo,Me preparo para saludar ,Positivo,Morir ,Ambiguo,Los llevo en mi corazón ,Positivo,Haría cosas que no hice ,Ambiguo,Son mentirosas ,Negativo,Lo disfrutaría mucho,Positivo,Pelean mucho,Negativo,Es juiciosa ,Positivo,Son lindas ,Positivo,De las enfermedades de mis padres ,Negativo,Genial ,Positivo,Me deprimo,Negativo,Me siento mal ,Negativo,Vivir para siempre ,Ambiguo,Yo lograré estabilidad ,Positivo,Son calidad ,Positivo,Cambiar de pensamiento ,Positivo,Hablan de mi,Negativo ,Era soñar con una mujer todas las noches ,Ambiguo,Su infidelidad ,Negativo,Es activa ,Positivo,Me asustaban los truenos ,Negativo,Viven bien ,Positivo,Mi padre también ,Positivo,Meterme en deudas ,Negativo
24,Femenino.,Entiende,Negativo,me frustro,Negativo,Ser la mejor en lo que me dediqué,Positivo,daria lo mejor de mi ,Positivo,incierto,Ambiguo,me aconsejan ,Positivo,No cumplir mis metas ,Negativo,Es capaz de escucharte ,Positivo,anhelaba crecer ,Ambiguo,Que me impulse a ser mejor ,Positivo,Me alegro ,Positivo,Es la mejor que pude tener ,Positivo,Lo práctico,Positivo,Es una guerrera ,Positivo,Decepcioné a mi mamá,Negativo,Disfrutara mas de la vida,Positivo,Las manualidades,Positivo,No sobrepensara ,Positivo,Seria amable ,Positivo,Cumplir todos mis propositos ,Negativo,Eran geniales ,Positivo,la soledad,Positivo,herir a los demas ,Positivo,no era razonable ,Positivo,no piensan en un futuro ,Negativo,es un reto grande ,Ambiguo,la reina de la casa,Positivo,son empaticos,Positivo,somos como amigas ,Positivo,No expresar mis sentimientos,Negativo,cambie de mentalidad ,Ambiguo,Es la comprension ,Ambiguo,Formar un hogar ,Positivo,es agradable ,Positivo,sere la mejor psicologa,Positivo,No interfiere en mis actividades ,Positivo,Estar sola ,Positivo, Es porque me apoya,Positivo,Cambiaria muchas cosas,Ambiguo,deben trabajar en su armonia ,Negativo,Me cuido,Positivo,tienen su propia ecensia ,Neutro,no le gusta sobresalir,Ambiguo ,son maravillosas,Positivo,todo lo malo que sucedia,Ambiguo,un gran hombre,Positivo,respiro y busco otra salida,Positivo,suelo ser amable ,Positivo,ayudar a muchas personas,Positivo,habre cumplido todas mis metas,Positivo,las respeto,Positivo,sobrepensar,Negativo,Me cuentan despues lo sucedido,Positivo,un accidente en la moto ,Negativo,que sean tan complicados ,Ambiguo,es un privilegio ,Positivo,me gustaba mucho la bachata ,Positivo,es chistosa ,Positivo,chocamos aveces,Ambiguo,no expresar todo lo que pienso ,Negativo
46,Femenino.,Regaña,Ambiguo,Lloro,Ambiguo,Conocer lugares,Positivo,Sería la mejor,Positivo,Incierto ,Ambiguo,Las admiro,Positivo,Que me vean llorar,Negativo,Debe ser leal,Positivo,No tuve muñecas,Ambiguo,Lo es todo,Neutro,Creo en el amor ,Positivo,Es casi perfecta ,Ambiguo,Mi paciencia ,Negativo,Única ,Positivo,Mi hermana murió en mis brazos ,Negativo,Llorara,Negativo,Hablar,Positivo,Mis hijos son felices,Negativo,Los valoraria ,Positivo,Ser mejor mamá ,Positivo,Los mejores,Positivo,Las serpientes ,Negativo,El melon,Neutro,No tenía nada,Positivo,Normalizan todo ,Negativo,Debe ser para toda la vida,Ambiguo,Una mamá cariñosa,Positivo,Me las llevo bien ,Positivo,Hablamos todos los dias,Positivo,"Dejar de ser yo, por convertirme en una mamá al 100%",Negativo,Viniera a visitarme ,Positivo,Ver llorar a mis hijos,Positivo,Tener una finca grande,Positivo,Es muy leal,Positivo,Conoceré Santorine,Positivo,Me pongo seria,Negativo,Las alturas,Positivo,Mi familia ,Positivo,Estudiaria,Positivo,Quieren ser madres,Positivo,Me cuidaría para no tener más hijos ,Positivo,Son disfuncionales ,Negativo,Son responsables ,Positivo,Lloramos por nuestros hijos ,Positivo,No haber estudiado ,Negativo,El mejor de todos,Positivo,Me da tristeza ,Ambiguo,Espero las cumplan,Ambiguo,Ver a mis hijos felices,Positivo,Viajaremos a Europa ,Neutro,Los respeto ,Positivo,Alejarme,Negativo,Hablan de todos,Negativo ,Que vivi con mi abuela,Ambiguo,Su egocentrismo,Negativo,Es buena,Positivo,Aprendí a cocinar,Positivo,Me respeta,Ambiguo,No le gusta que fume,Positivo,Negarme cosas a mi misma,Negativo
21,Masculino.,Abraza ,Negativo,Lloro ,Ambiguo,Viajar ,Positivo,Sería el mejor ,Positivo,Tenebroso ,Negativo,Me dan igual ,Neutro,Morir ,Positivo,Está siempre ,Negativo,Quería todo ,Ambiguo,Amoroso ,Positivo,Me da ternura ,Positivo,Es la mejor,Positivo,Nadie ,Negativo,Es cansona ,Negativo,Estuve solo ,Negativo,Demostrará más su afecto ,Negativo,El diseño ,Positivo,Me mantuviera viajando ,Positivo,Viviría viajando ,Ambiguo ,Viajar mucho ,Positivo,Eran un fastidio ,Negativo,Perderme en el metro ,Negativo,Las mentiras ,Neutro ,Después ,Neutro,Están muy equivocados ,Negativo,Es buena mientras las dos partes la quieran ,Ambiguo,Cualquier otra persona,Negativo,A veces me caen mal ,Negativo,Tenemos el mismo genio ,Ambiguo,Creer ,Ambiguo,Me regalará viajes ,Positivo,Un viaje ,Positivo,Ser millonario ,Positivo,Me haría la vida más fácil ,Neutro,Me mantendré viajando ,Positivo,Me pongo a trabajar ,Positivo,Que no me funcionen mis planes ,Ambiguo,Es la más loca ,Ambiguo,Viajaría más ,Positivo,Deben de aprender de lealtad ,Negativo,Sería lo mejor ,Ambiguo,Son normales ,Positivo,No me molesta ,Ambiguo ,Son muy sensibles ,Ambiguo,Comer tanto ,Negativo,Trabajador ,Positivo,Lloro ,Ambiguo,Me siento feliz ,Positivo,Viajar ,Positivo,Me iré a viajar ,Neutro,Son normales ,Neutro,Auto sabotearme ,Negativo,No están conmigo ,Negativo ,No recuerdo ,Neutro,Lo mentirosos ,Negativo,Es buena ,Positivo,Lo tenía todo ,Positivo,Se ríe mucho ,Positivo,Es muy cansona ,Negativo,Es escaparme ,Negativo
19,Femenino.,Abraza,Negativo,Rio ,Ambiguo,Felicidad,Negativo,Estrés ,Negativo,Tedioso ,Negativo,Respetable,Positivo,No ser feliz ,Negativo,Ama,Positivo,Borroso ,Neutro,Incondicional ,Positivo,Tranquilidad,Positivo,Rota ,Negativo,Todos ,Positivo ,Incomprensible ,Negativo,Me quise ir ,Ambiguo ,Escuchará ,Negativo,Arte ,Positivo,Fuera diferente ,Positivo,Tendría amabilidad ,Positivo,Paz ,Positivo,Increíbles ,Positivo,Rendirme ,Ambiguo,Ser infeliz ,Positivo,Incertidumbre ,Neutro,Son únicos ,Positivo,Fuerte ,Neutro,Nada ,Neutro,Inteligentes ,Positivo,Confuso ,Neutro,Permitir ,Ambiguo,Fuera honesto ,Negativo,Mi corazón ,Positivo,Ser feliz ,Positivo,Agradecida ,Positivo,Tendré paz ,Ambiguo,Respeto,Ambiguo,Ser libre ,Negativo,Mis amigos ,Positivo,Sería más comprensible ,Positivo,Son únicos ,Positivo,Me relajaría ,Positivo,Armonia ,Neutro,Me hace reír ,Positivo,Son bonitas ,Positivo,No ser perfecta ,Negativo,Confuso ,Ambiguo,Me frustro ,Negativo,Soy amable ,Positivo,Mi paz ,Ambiguo,Expresión ,Neutro,Temor ,Negativo,Ser infeliz ,Negativo,Me recuerdan ,Positivo,Borroso ,Neutro,Incomprensiblea ,Ambiguo,Activa ,Positivo,Me divertía ,Positivo,Les agrado ,Positivo,No la comprendo ,Negativo,Herir ,Negativo
51,Masculino.,Habla,Negativo,Me enojo,Negativo,Poder viajar ,Positivo,De la empresa ,Neutro,Incierto por qué nunca sabemos que nos espera,Ambiguo,Son crecidas ,Negativo,Enfermarme ,Positivo,Es incondicional ,Positivo,Me gustaba jugar,Positivo,Humilde ,Positivo,Ideal,Neutro,Es mejor la mía ,Positivo,Conmigo mismo,Negativo,Mi ángel ,Positivo,Dejé ir una oportunidad ,Ambiguo ,Estuviera ,Negativo,Crear empresa ,Positivo,Si tuviera un buen sueldo ,Positivo,Buenos honorarios,Positivo,Que mis hijos cumplan sus metas,Positivo,Estrictos ,Ambiguo,Conducir autos ,Negativo,La gente bolatosa,Ambiguo,Era mejor que hoy ,Negativo,Hoy no les gusta trabajar ,Negativo,Es monótona ,Negativo ,Un rey,Positivo,Son hipócritas ,Negativo,Dialogabamos ,Positivo,No estudiar,Negativo,Viviera,Ambiguo,Mi caracter ,Positivo,Viajar,Positivo,Es remunerada ,Positivo,Estaré relajado sin pensar en tanto trabajo,Positivo,Me levanto a trabajar ,Positivo,Arriesgarme a invertir ,Ambiguo,Es la gente humilde,Positivo,Me arriesgaría más ,Positivo,Son vanidosas ,Negativo,Más seguido ,Ambiguo,Son catolicas,Neutro,Se le ven las ganas de salir adelante ,Positivo,Son sobreprotectoras,Negativo,De no trabajar ,Ambiguo,Un ángel ,Positivo,Me da ira,Ambiguo,Es porque tengo razon,Positivo,Mis hijos triunfen ,Positivo,Podré viajar ,Neutro,Grandes en sus esfuerzos ,Positivo,Trabajar más duro,Positivo,Extrañan ,Positivo,Las fiestas,Positivo,Que sean vulgares ,Negativo,Es buena,Positivo,Me gustaba jugar fútbol ,Positivo,Es gritona,Negativo,No está,Negativo,No tener mi propio negocio ,Negativo
53,Femenino.,Me regañó,Ambiguo,me molesto,Negativo,ser mamá ,Negativo,quisiera que fueran más sinceros,Negativo,incierto,Ambiguo,no siempre son por ser mejores que yo,Negativo,entrar al mar ,Positivo,es fiel y confidente ,Positivo,me consintieron mucho,Positivo,temer y amar a Dios,Positivo,espero se valoren y respeten,Positivo,es mi red de apoyo,Positivo,personas ágiles ,Positivo,una guerrera,Positivo,no tuve control de una situación ,Negativo,viviera ,Negativo,socializar y liderar,Positivo,Las personas fueran más fieles ,Negativo,tendría empatia,Positivo,ser recordada para bien,Positivo,grandes maestros en mi vida,Positivo,el mar,Negativo,que me mientan,Negativo,quería tener el control,Positivo,son muy inteligentes ,Positivo,es maravillosa ,Positivo,una líder a seguir,Positivo,les agrada mi compañia,Positivo,hablamos de todo,Positivo,confiar en idolatrar,Neutro,Hubiera estado más años conmigo,Negativo,mi hijo,Positivo,Perfeccionarme en el plano espiritual ,Positivo,desearía que fueran feliz,Positivo,disfrutaré de vivir en Ibagué ,Positivo,le doy una sonrisa,Positivo,confiar ,Positivo,"los realistas, sinceros y Positivos",Positivo,Viajaría y conocería más lugares,Positivo,se amargan sin necesidad ,Negativo,con quién amo,Ambiguo,no se conocen ni dialogan,Ambiguo,Quiere progresar ,Positivo,Aman más a sus hijos q a ellas mismas,Ambiguo,No estudiar,Negativo,Un hombre único ,Positivo,Me molesto,Ambiguo,Deseo me obedezcan,Positivo,Una vejez con calidad de vida,Positivo,Vivir en Ibagué ,Positivo,Los admiro por su amor y labor a Dios,Positivo,Angustiarme,Negativo,Espero me extrañen,Positivo,El amor de mi padre,Positivo,La infidelidad,Negativo,Con el hombre que amo,Positivo,Disfrutar de la compañía de mi papá ,Positivo,me hace sentir bien ,Positivo,no es empática ,Negativo,no valorarme mas,Negativo
19,Femenino.,Deja sola,Positivo,Me estreso rápido ,Negativo,Poder volar ,Neutro,Trataría de dirigir en base al respeto y la autoridad,Positivo,Incierto,Ambiguo,Las trato con respeto ,Positivo,La oscuridad ,Ambiguo,Es leal sin importar la situación ,Positivo,Quería ser veterinaria,Positivo,"Alguien leal, respetuoso, detallista y atento",Positivo,Me alegro por ellos,Positivo,Es muy estable y amorosa,Positivo,Mis amigos ,Positivo ,Es la mujer más trabajadora y líder qué existe ,Positivo,Falleció mi abuelito ,Negativo,No se estresara tanto ,Positivo,"El arte, el diseño y el baile",Positivo,No tuviera que madrugar ,Positivo,Sería un equipo muy bueno y eficaz ,Positivo,Tener mi propia empresa,Positivo,Tenían un muy buen concepto de mi,Positivo,Morir,Negativo,Que me mientan,Negativo ,Me enojaba muy rápido y tenía poca paciencia ,Positivo,No saben tener algo estable,Ambiguo,Es aburrida,Negativo ,Una niña grande,Negativo,Son responsables ,Positivo,Tenemos una muy buena relación ,Positivo,Confiar demasiado ,Negativo,Fuese inmortal ,Positivo,Mi sensibilidad ,Positivo,Conocer todo el mundo,Positivo,Los que trabajan conmigo se sienten seguros ,Positivo,Conoceré japón ,Positivo,Me dan nervios,Negativo,Hablar en público ,Positivo,Es sincera y leal,Positivo,Soy joven aún ,Neutro,Tienen muchos inseguridades ,Negativo,Sería muy responsable y me protegería ,Positivo,Tienen problemas afectivos ,Ambiguo,Sabe lo que hace,Positivo,Son muy cariñosas ,Positivo,Desperdiciar la comida ,Positivo,El Mejor de todos,Positivo,Me desánimo bastante ,Negativo,Habló con tranquilidad pero firme,Positivo,Ser alguien importante ,Ambiguo,Tendré mi título profesional ,Positivo,Quien tenga mayor conocimiento,Positivo,No hacer las cosas,Negativo,Tratan de saber de mi,Positivo,Ir a divercity con mis amigos,Positivo,Que no sepan querer bien,Ambiguo,No es activa,Negativo,Era más sociable ,Positivo,Ya lo respondí ,Neutro,A veces se enoja por todo ,Ambiguo,Mentirle a mis padres ,Negativo
19,Femenino.,Abraza ,Negativo,Me tomo un descanso ,Positivo,Viajar ,Positivo,Nose ,Neutro,Misterioso,Ambiguo,Tienen experiencia ,Positivo,Fallar ,Negativo,Es leal ,Positivo,Me. Gustaba correr ,Positivo,Es mi novio ,Positivo,Nada ,Neutro,Es maravillosa,Positivo,Personas cercanas ,Positivo ,Es fuerte ,Positivo,Me caí ,Ambiguo ,Corriera ,Negativo,El arte ,Positivo,Viajará ,Positivo,Sería un trabajo en equipo ,Positivo,Comer ,Positivo,Eran muy buenos ,Positivo,Fallar ,Positivo,La guanabana ,Neutro ,Después ,Neutro,Existen,Neutro,Es dura ,Negativo ,No se ,Neutro,Son buenos ,Positivo,Nos llevamos bien ,Positivo,Dudar ,Negativo,Llegara ,Negativo,Mi familia ,Positivo,Triunfar ,Positivo,Buena ,Neutro,Viajaré ,Positivo,Saludo ,Positivo,Las agujas ,Positivo,Mis amigos ,Positivo,Soy joven ,Neutro,Son poderosas ,Positivo,No respondo ,Neutro,Son ,Neutro,Es extrovertida ,Positivo,Son fuertes ,Positivo,Nada ,Neutro,Protector ,Ambiguo,Pues nada ,Neutro,Soy amable ,Positivo,Apoyar a mi familia ,Positivo,Tendré un gran trabajo ,Positivo,Es buena ,Positivo,Esconderme ,Negativo,No se ,Neutro,Fue comer las galletas rojas que me daba mi abuelo ,Positivo,El irrespeto ,Negativo,No respondo ,Negativo,Jugaba mucho ,Positivo,Es alegre ,Positivo,Es volátil ,Negativo,Dudar ,Negativo
55,Masculino.,Consiente y escucha,Negativo,Todo sale mal. ,Negativo,Ser profesional ,Negativo,Trataria de ser mejor ser humano ,Positivo,Incierto,Ambiguo,No son amables,Negativo,Dar mis puntos de vista,Negativo,Siempre esta presente ,Negativo,Fui feliz,Positivo,"Es ser servicial, amigo, sincero y incondicional ",Positivo,Me da alegría ,Positivo,Es mejor es muchos aspectos ,Positivo,Hombres,Ambiguo,"Es muy dura, insensible y poco amorosa",Negativo,Fui infiel,Negativo,Hubiera sido mas comprensivo y amoroso,Negativo,Trabajo manual ,Positivo,Tuviera una mejor estabilidad económica y emocional ,Positivo,Seria muy amable y compresivo,Positivo,Siempre dar lo mejor de mi,Negativo,Eran muy amables y profesionales ,Positivo,El fracaso,Positivo,El maltrato físico y emocional ,Positivo ,Era mas sociable,Negativo,Son muy desagradecidos ,Negativo,Es dura pero gratificante al final,Positivo,Un ser insensible y poco amigable ,Negativo,Me respetan,Positivo,No tenemos buena relación ,Negativo,No haber terminado mis estudios ,Negativo,Hubiera sido mas edificable y amoroso,Negativo,La mentira,Negativo,Es tener dinero y poder tener y hacer todo lo que sueño,Positivo,Los trato con respeto,Positivo,Quiero que me recuerden como una buena persona ,Positivo,Me alegra poder saludarlo y compartir ,Positivo,Poder decir lo que quiero y pienso en realidad ,Positivo,Mi Esposa e Hijo,Positivo,Compartiría más con mis hermanos y aprovechar mejor el tiempo y las oportunidades ,Positivo,Son agradables ,Positivo,Las disfrutaria,Positivo,Aparentan ser felices y unidas,Negativo,Trabajan en equipo y aportan para el crecimiento general ,Positivo,"Son cariñosas, orientan y escuchan ",Positivo,La escases de mi hogar,Negativo,Incoherente a lo que queria enseñarnos,Ambiguo,Es por mis malas decisiones ,Ambiguo,Trato de ser objetivo y coherente a lo pedido,Positivo,Ver mi hogar feliz y mi hijo profesional y uma bella familia ,Positivo,Quiero tener los recursos para poder compartir y disfrutar con mi familia ,Positivo,Los respeto y admiro ,Positivo,No hacer lo que pienso y siento,Negativo,Se divierten sin mi compañía ,Negativo ,El amor de mis abuelos y estar con toda la familia ,Positivo,Que no son logicos e incoherentes a sus acciones ,Negativo,Es activa y placentera ,Positivo,Era muy feliz y no me preocupaba el futuro,Positivo,Es amable y solidaria ,Positivo,Sus rencores y odios me entristecen,Negativo,Es hacerle daño a mi Esposa e Hijo ,Negativo
